name,description,main_image_url,additional_images_list,all_pdf_ies_links_list,applications_html,product_brochure_pdf_url,spec_or_ies_file_url_0,spec_or_ies_file_url_1,spec_or_ies_file_url_2,spec_or_ies_file_url_3,spec_or_ies_file_url_4,spec_or_ies_file_url_5,spec_or_ies_file_url_6,spec_or_ies_file_url_7,spec_or_ies_file_url_8,spec_or_ies_file_url_9,spec_or_ies_file_url_10,spec_or_ies_file_url_11,spec_or_ies_file_url_12,spec_or_ies_file_url_13,additional_image_url_0,additional_image_url_1,additional_image_url_2,additional_image_url_3
LED Tape Light,"<p>LEDs mounted to Flexible Printed Circuit Board with 4.3 watts per foot brightness. Minimal fixture profile of just 2.0mm (3/32"") high by 10mm (12/32') wide. Can be field cut and reconnected every 4"". Safe, Class 2 LED Drivers power up to 20 feet of product in a single run. Dimmable. Easy mounting with 3M tape pre-applied to back of fixture. Offered in six LED colors and RGB colour change for dramatic effects! Our extrusions are ideal for recessed or in cabinet applications.<br><br>Specifications:<br>                                          High Power                             Low Power<br>Power Consumption          4.3 Watts per foot                   2.2 Watts per foot<br>Lumen Output                   325 Lumens per foot - CW     165 Lumens per foot - CW<br>                                          300 Lumens per foot - NW     150 Lumens per foot - NW<br>                                          285 Lumens per foot - WW     145 Lumens per foot - WW<br>Lumen Laintenance          50,000 Hours                           50,000 Hours<br>CRI                                    &gt;80                                          &gt;80<br><br>*CW = Cool White, NW= Neutral White, WW = Warm White</p>",https://www.nslusa.com/upload/636644980478175233.png,"#/upload/636580515230647088.jpg,#/upload/636580515255001149.jpg,#/upload/636580515276055605.jpg,#/upload/636580515296982089.jpg","/upload/636580515681605772.IES/INDOOR%20HIGH%20POWER%20COOL%20WHITE.ies,/upload/636580515863502610.IES/INDOOR%20HIGH%20POWER%20WARM%20WHITE.ies,/upload/636580518675812312.pdf/LTP-010-S,/upload/636580517185997787.pdf/LTP-OD-XX-RGB,/upload/636580516131837279.pdf/LTP-XX-CW,/upload/636580516543527645.pdf/LTP-XX-CW-LP,/upload/636580516968703947.pdf/LTP-XX-RGB,/upload/636580516350630935.pdf/LTP-XX-WW,/upload/636580516727676283.pdf/LTP-XX-WW-LP,/upload/636580517402288108.pdf/LV-LB-D3-FR,/upload/636580518176889272.pdf/LV-LB-V3-FR,/upload/636580518441689289.pdf/LV-LB-W3-FR,/upload/636580519160820586.pdf/Install%20Instructions%20-%20Indoor,/upload/636580519325602167.pdf/Install%20Instructions%20-%20Outdoor","<div class=""tab-pane fade"" id=""product-applications"" role=""tabpanel"" aria-labelledby=""product-applications-tab"">
            <span>This product is suitable for the following applications:</span>
            <ul>
                    <li>Aisle Lighting</li>
                    <li>Back Lighting</li>
                    <li>Cabinet Lighting</li>
                    <li>Cove Lighting</li>
                    <li>Effect Lighting</li>
                    <li>Linear Decorative Lighting</li>
                    <li>Museum Lighting</li>
                    <li>Retail Stores</li>
                    <li>Security Lighting</li>
                    <li>Showcase Lighting</li>
            </ul>
    </div>",https://www.nslusa.com/upload/636748184457297202.pdf/LED%20Tape%20Light%20Brochure,https://www.nslusa.com/upload/636580515681605772.IES/INDOOR%20HIGH%20POWER%20COOL%20WHITE.ies,https://www.nslusa.com/upload/636580515863502610.IES/INDOOR%20HIGH%20POWER%20WARM%20WHITE.ies,https://www.nslusa.com/upload/636580518675812312.pdf/LTP-010-S,https://www.nslusa.com/upload/636580517185997787.pdf/LTP-OD-XX-RGB,https://www.nslusa.com/upload/636580516131837279.pdf/LTP-XX-CW,https://www.nslusa.com/upload/636580516543527645.pdf/LTP-XX-CW-LP,https://www.nslusa.com/upload/636580516968703947.pdf/LTP-XX-RGB,https://www.nslusa.com/upload/636580516350630935.pdf/LTP-XX-WW,https://www.nslusa.com/upload/636580516727676283.pdf/LTP-XX-WW-LP,https://www.nslusa.com/upload/636580517402288108.pdf/LV-LB-D3-FR,https://www.nslusa.com/upload/636580518176889272.pdf/LV-LB-V3-FR,https://www.nslusa.com/upload/636580518441689289.pdf/LV-LB-W3-FR,https://www.nslusa.com/upload/636580519160820586.pdf/Install%20Instructions%20-%20Indoor,https://www.nslusa.com/upload/636580519325602167.pdf/Install%20Instructions%20-%20Outdoor,https://www.nslusa.com/upload/636580515230647088.jpg,https://www.nslusa.com/upload/636580515255001149.jpg,https://www.nslusa.com/upload/636580515276055605.jpg,https://www.nslusa.com/upload/636580515296982089.jpg
LED Task Star Pro ,"<p>LED Task Star Pro (LTSPRO) is constructed with an aluminum housing and a matte white polycarbonate diffuser. It has a hi-low rocker switch and a slide selector switch for changing Kelvin colour temperature. This sleek fixture features edge lit technology which means no hot spots on the polished marble or granite counter top. 1 inch low profile design means the fixture remains hidden. The quality of light is the best in the Industry with a 90 color rendering index (CRI) and up to 60 lumens per watt. Rated to 50,000 hours and dimmable with most ELV dimmers, LTSPRO is the most versatile task light on the market today. Ships complete with captive mounting screws, cord and plug, end to end connector and romex connector for hardwire.</p>",https://www.nslusa.com/upload/636644990223061224.png,"#/upload/636581293899108478.jpg,#/upload/636581293926093109.jpg,#/upload/636581293949165724.jpg,#/upload/636681429191463834.jpg","/upload/636685609190854825.ies/LTSPRO-12.ies,/upload/636685609443689897.ies/LTSPRO-18.ies,/upload/636685609595377051.ies/LTSPRO-24.ies,/upload/636685609771055334.ies/LTSPRO-32.ies,/upload/636685609940242505.IES/LTSPRO-40.ies,/upload/636685608514250270.IES/LTSPRO-9.ies,/upload/636581296321857577.pdf/LTSPRO-12-YY,/upload/636581296506511415.pdf/LTSPRO-18-YY,/upload/636581296799264427.pdf/LTSPRO-24-YY,/upload/636581297227940073.pdf/LTSPRO-32-YY,/upload/636581297532860435.pdf/LTSPRO-40-YY,/upload/636581295725939332.pdf/LTSPRO-9-YY,/upload/636581298587808893.pdf/Install%20Instructions","<div class=""tab-pane fade"" id=""product-applications"" role=""tabpanel"" aria-labelledby=""product-applications-tab"">
            <span>This product is suitable for the following applications:</span>
            <ul>
                    <li>Cabinet Lighting</li>
                    <li>Showcase Lighting</li>
            </ul>
    </div>",https://www.nslusa.com/upload/636645124795484814.pdf/LED%20Task%20Star%20Pro%20%20Brochure,https://www.nslusa.com/upload/636685609190854825.ies/LTSPRO-12.ies,https://www.nslusa.com/upload/636685609443689897.ies/LTSPRO-18.ies,https://www.nslusa.com/upload/636685609595377051.ies/LTSPRO-24.ies,https://www.nslusa.com/upload/636685609771055334.ies/LTSPRO-32.ies,https://www.nslusa.com/upload/636685609940242505.IES/LTSPRO-40.ies,https://www.nslusa.com/upload/636685608514250270.IES/LTSPRO-9.ies,https://www.nslusa.com/upload/636581296321857577.pdf/LTSPRO-12-YY,https://www.nslusa.com/upload/636581296506511415.pdf/LTSPRO-18-YY,https://www.nslusa.com/upload/636581296799264427.pdf/LTSPRO-24-YY,https://www.nslusa.com/upload/636581297227940073.pdf/LTSPRO-32-YY,https://www.nslusa.com/upload/636581297532860435.pdf/LTSPRO-40-YY,https://www.nslusa.com/upload/636581295725939332.pdf/LTSPRO-9-YY,https://www.nslusa.com/upload/636581298587808893.pdf/Install%20Instructions,,https://www.nslusa.com/upload/636581293899108478.jpg,https://www.nslusa.com/upload/636581293926093109.jpg,https://www.nslusa.com/upload/636581293949165724.jpg,https://www.nslusa.com/upload/636681429191463834.jpg
Gen II LED Hard Strip,"<p>Gen 2 LED Hard Strip is a new and improved energy efficient linkable strip, that provides a smooth, even lighting, eliminating any hot spots. Encased in an aluminum casing, the LED’s are cool to the touch and provide 120 degree beam spread. Gen 2 LED Hard Strips are available in four sizes and two color temperatures (WW-3000K, NW-4200K). Four mounting options provide a seamless even distribution of light delivering outstanding light output and low power consumption. Gen 2 LED Hard Strip is dimmable when powered by appropriate LED driver or dimming device.<br><br>Specifications:            LV-HS-PD20-24V-30     LV-HS-PD20-24V-50     LV-HS-PD20-24V-100       LV-HS-PD20-24V-120  <br>Power Consumption             4 Watts                            7 Watts                         13 Watts                            16 Watts              <br>Lumens                               400 lm - NW                   664 lm - NW                 1066 lm - NW                    1150 lm - NW <br>                                           380 lm - WW                   621 lm - WW                1036 lm - WW                   1100 lm - WW <br>Lumen Maintenance          50,000 hours                    50,000 hours                 50,000 hours                     50,000 hours <br>CRI                                      &gt;80                                  &gt;80                               &gt;80                                   &gt;80<br><br>XX - NW = Neutral White, WW = Warm White </p>",https://www.nslusa.com/upload/636644971042993559.png,"#/upload/636580491918924317.jpg,#/upload/636580492128492162.jpg,#/upload/636580492150684287.jpg,#/upload/636580492176096461.jpg","/upload/636643253237783709.IES/LV-HS-PD20-24V-100-NW.ies,/upload/636643253507960053.IES/LV-HS-PD20-24V-100-WW.ies,/upload/636643251248644329.IES/LV-HS-PD20-24V-30-NW.ies,/upload/636643251734438657.IES/LV-HS-PD20-24V-30-WW.ies,/upload/636643252182757768.IES/LV-HS-PD20-24V-50-NW.ies,/upload/636643252456598149.IES/LV-HS-PD20-24V-50-WW.ies,/upload/636718626326778448.pdf/LV-HS-PD20-24V-XX-YY,/upload/636716825411609550.pdf/Install%20Instructions","<div class=""tab-pane fade"" id=""product-applications"" role=""tabpanel"" aria-labelledby=""product-applications-tab"">
            <span>This product is suitable for the following applications:</span>
            <ul>
                    <li>Cabinet Lighting</li>
                    <li>Linear Decorative Lighting</li>
                    <li>Museum Lighting</li>
                    <li>Retail Stores</li>
                    <li>Showcase Lighting</li>
            </ul>
    </div>",https://www.nslusa.com/upload/636645116858985587.pdf/Gen%20II%20LED%20Hard%20Strip%20Brochure,https://www.nslusa.com/upload/636643253237783709.IES/LV-HS-PD20-24V-100-NW.ies,https://www.nslusa.com/upload/636643253507960053.IES/LV-HS-PD20-24V-100-WW.ies,https://www.nslusa.com/upload/636643251248644329.IES/LV-HS-PD20-24V-30-NW.ies,https://www.nslusa.com/upload/636643251734438657.IES/LV-HS-PD20-24V-30-WW.ies,https://www.nslusa.com/upload/636643252182757768.IES/LV-HS-PD20-24V-50-NW.ies,https://www.nslusa.com/upload/636643252456598149.IES/LV-HS-PD20-24V-50-WW.ies,https://www.nslusa.com/upload/636718626326778448.pdf/LV-HS-PD20-24V-XX-YY,https://www.nslusa.com/upload/636716825411609550.pdf/Install%20Instructions,,,,,,,https://www.nslusa.com/upload/636580491918924317.jpg,https://www.nslusa.com/upload/636580492128492162.jpg,https://www.nslusa.com/upload/636580492150684287.jpg,https://www.nslusa.com/upload/636580492176096461.jpg
LED Globe Light,"<p>LED Globe Light utilizes super bright LEDs to provide the ultimate in decorative string lighting for a multitude of applications. It can be supplied pre-assembled 12"" (30.4cm) spacing or with loose lamp assemblies for custom spacing. Operating on safe 24V class 2 power supplies LED Globe Light is low in power consumption and high in lumen output assuring you of an extremely effective decorative lighting project.<br><br>Specifications:<br>Power Consumption        0.5 Watts<br>Lumen Output                  50 Lumens<br>LED CCT                         Cool White 6000K, Warm White 2700K<br>Lumen Maintenance        50,000 Hours<br>CRI                                  &gt;80</p>",https://www.nslusa.com/upload/636644957487853865.png,"#/upload/636581276533036356.jpg,#/upload/636581276555394441.jpg,#/upload/636581276597776145.jpg,#/upload/636772264438405513.jpg","/upload/636581276935822959.pdf/LED%20GLOBE%20LIGHT,/upload/636581277820422804.pdf/Install%20Instructions%20-%20English","<div class=""tab-pane fade"" id=""product-applications"" role=""tabpanel"" aria-labelledby=""product-applications-tab"">
            <span>This product is suitable for the following applications:</span>
            <ul>
                    <li>Landscape Lighting</li>
                    <li>Deck &amp; Patio Lighting</li>
                    <li>Effect Lighting</li>
            </ul>
    </div>",https://www.nslusa.com/upload/636645115176536408.pdf/LED%20Globe%20Light%20Brochure,https://www.nslusa.com/upload/636581276935822959.pdf/LED%20GLOBE%20LIGHT,https://www.nslusa.com/upload/636581277820422804.pdf/Install%20Instructions%20-%20English,,,,,,,,,,,,,https://www.nslusa.com/upload/636581276533036356.jpg,https://www.nslusa.com/upload/636581276555394441.jpg,https://www.nslusa.com/upload/636581276597776145.jpg,https://www.nslusa.com/upload/636772264438405513.jpg
LED Wedge Light,"<p>LED Wedge Light utilizes a 3 chip LED wedge base lamp mounted on outdoor rated SPT2 wire. It’s high brightness, low power consumption and long life make it the perfect choice for decorative lighting applications both indoors and outdoors. Available in 6"" (15.2cm) standard lamp spacing, LED Wedge Light can be cut to any length at any place on the wire. Custom spacing is also available. LED Wedge Light operates on safe class 2, 12V power supplies.<br><br>Specifications:<br>Power Consumption        0.25 Watts<br>Lumen Output                  15 Lumens<br>LED CCT                         Cool White 6000K, Warm White 2700K<br>Lumen Maintenance        50,000 Hours<br>CRI                                  &gt;80</p>",https://www.nslusa.com/upload/636644954273477461.png,"#/upload/636581281063697868.jpg,#/upload/636581281083410198.jpg,#/upload/636772265509163122.jpg,#/upload/636772265509256710.jpg","/upload/636581281451625360.pdf/LED%20WEDGE%20LIGHT,/upload/636581282202609933.pdf/Install%20Instructions","<div class=""tab-pane fade"" id=""product-applications"" role=""tabpanel"" aria-labelledby=""product-applications-tab"">
            <span>This product is suitable for the following applications:</span>
            <ul>
                    <li>Building Outlines</li>
                    <li>Deck &amp; Patio Lighting</li>
                    <li>Landscape Lighting</li>
            </ul>
    </div>",https://www.nslusa.com/upload/636645112194599204.pdf/LED%20Wedge%20Light%20Brochure,https://www.nslusa.com/upload/636581281451625360.pdf/LED%20WEDGE%20LIGHT,https://www.nslusa.com/upload/636581282202609933.pdf/Install%20Instructions,,,,,,,,,,,,,https://www.nslusa.com/upload/636581281063697868.jpg,https://www.nslusa.com/upload/636581281083410198.jpg,https://www.nslusa.com/upload/636772265509163122.jpg,https://www.nslusa.com/upload/636772265509256710.jpg
LED Task Star ,"<p>LED Task Star comes with replaceable high voltage LED modules that are now dimmable making it an extremely versatile fixture. It is available in 1,2,3,4 and 5 module versions. Overall power consumption is as low as 5.2 watts per module. What’s more, there are no remote or internal LED drivers to worry about as the replaceable modules work directly off of line voltage. Simply connect directly to 120 Volt power.<br><br>Specifications:<br>Power Consumption      5.2 Watts ped LED Module<br>Lumen Output               175 Lumens per LED Module<br>Lumen Maintenance     40,000 Hours<br>CRI                                &gt;80</p>",https://www.nslusa.com/upload/636644989496514066.png,"#/upload/636578032789739802.jpg,#/upload/636578032818115666.jpg,#/upload/636664948959002207.jpg,#/upload/636664949091945911.jpg","/upload/636578033481657301.IES/LED%20TASK%20STAR%203%20LED%20MODULE.ies,/upload/636578034914239736.pdf/LED%20TASK%20STAR,/upload/636578036477188507.pdf/Install%20Instructions","<div class=""tab-pane fade"" id=""product-applications"" role=""tabpanel"" aria-labelledby=""product-applications-tab"">
            <span>This product is suitable for the following applications:</span>
            <ul>
                    <li>Cabinet Lighting</li>
                    <li>Museum Lighting</li>
                    <li>Showcase Lighting</li>
            </ul>
    </div>",https://www.nslusa.com/upload/636676263286418034.pdf/LED%20Task%20Star%20%20Brochure,https://www.nslusa.com/upload/636578033481657301.IES/LED%20TASK%20STAR%203%20LED%20MODULE.ies,https://www.nslusa.com/upload/636578034914239736.pdf/LED%20TASK%20STAR,https://www.nslusa.com/upload/636578036477188507.pdf/Install%20Instructions,,,,,,,,,,,,https://www.nslusa.com/upload/636578032789739802.jpg,https://www.nslusa.com/upload/636578032818115666.jpg,https://www.nslusa.com/upload/636664948959002207.jpg,https://www.nslusa.com/upload/636664949091945911.jpg
Xenon Brite Strip,"<p>With a bend radius of 5.75 cm (inside or outside), Brite Strip can evenly illuminate the tightest of curved surfaces. Even 90 degree corners are simple to do. Brite Strip mounts easily with 3M® double sided tape (pre-fixed to the back of each socket) or with simple to use nail clips for added security. The lamp holders have a metal reflector built in which deflects heat away from the mounting surface and reflects light onto the surface being illuminated.</p>",https://www.nslusa.com/upload/636644968439960677.png,"#/upload/636578903483292302.jpg,#/upload/636578903506389060.jpg,#/upload/636578903529509164.jpg","/upload/636643220012629668.IES/CD126.ies,/upload/636643220140823123.IES/CD128.ies,/upload/636578903909686745.pdf/Brite%20Strip,/upload/636578904532625213.pdf/Install%20Instructions","<div class=""tab-pane fade"" id=""product-applications"" role=""tabpanel"" aria-labelledby=""product-applications-tab"">
            <span>This product is suitable for the following applications:</span>
            <ul>
                    <li>Cabinet Lighting</li>
                    <li>Cove Lighting</li>
                    <li>Museum Lighting</li>
                    <li>Showcase Lighting</li>
            </ul>
    </div>",https://www.nslusa.com/upload/636645118198271386.pdf/Xenon%20Brite%20Strip%20Brochure,https://www.nslusa.com/upload/636643220012629668.IES/CD126.ies,https://www.nslusa.com/upload/636643220140823123.IES/CD128.ies,https://www.nslusa.com/upload/636578903909686745.pdf/Brite%20Strip,https://www.nslusa.com/upload/636578904532625213.pdf/Install%20Instructions,,,,,,,,,,,https://www.nslusa.com/upload/636578903483292302.jpg,https://www.nslusa.com/upload/636578903506389060.jpg,https://www.nslusa.com/upload/636578903529509164.jpg,
LED Brite Strip,"<p>LED Brite Strip is a flexible light strip featuring LED efficiency and field cutability. With a bend radius of 2 1/4"" / 5.75 cm (inside or outside), can evenly illuminate the tightest of curved surfaces. Even 90 degree corners are simple to do. LED Brite Strip mounts easily with 3M® double sided tape (pre-fixed to the back of each socket) or with simple to use nail clips for added security. Molded festoon bulb sockets located at two, three and four bulbs per foot on listed 12AWG wire. Each socket accepts a 0.5 watt LED festoon bulb. Bulbs are rated at 40,000 hour life. LED Bight Strip is dimmable when powered by appropriate LED driver and dimming device. <br><br>Specifications:<br>                                          CW LED 5000-5300K            WW LED 2300-2600K<br>Power Consumption          0.52 Watts per lamp              0.52 Watts per lamp<br>Lumen Output                   36 Lumens per lamp              25 Lumens per lamp<br>Lumen Maintenance         50,000 Hours                         50,000 Hours<br>CRI                                   &gt;80                                         &gt;80</p>",https://www.nslusa.com/upload/636644959230646453.png,"#/upload/636578055301398883.jpg,#/upload/636578055383968958.jpg,#/upload/636578055487684554.jpg","/upload/636578056085849814.IES/5%20LAMPS%20PER%20FOOT.ies,/upload/636578056523846347.ies/5%20LAMPS%20PER%20FOOT.ies,/upload/636578055950841247.IES/5%20LAMPS%20PER%20FOOT.ies,/upload/636578056281515493.ies/5%20LAMPS%20PER%20FOOT.ies,/upload/636578061888150979.pdf/LED%20BRITE%20STRIP,/upload/636578062825246170.pdf/Install%20Instructions%20LED%20Brite%20Strip%20Dimmable","<div class=""tab-pane fade"" id=""product-applications"" role=""tabpanel"" aria-labelledby=""product-applications-tab"">
            <span>This product is suitable for the following applications:</span>
            <ul>
                    <li>Cabinet Lighting</li>
                    <li>Cove Lighting</li>
                    <li>Effect Lighting</li>
                    <li>Museum Lighting</li>
                    <li>Showcase Lighting</li>
            </ul>
    </div>",https://www.nslusa.com/upload/636645115898368114.pdf/LED%20Brite%20Strip%20Brochure,https://www.nslusa.com/upload/636578056085849814.IES/5%20LAMPS%20PER%20FOOT.ies,https://www.nslusa.com/upload/636578056523846347.ies/5%20LAMPS%20PER%20FOOT.ies,https://www.nslusa.com/upload/636578055950841247.IES/5%20LAMPS%20PER%20FOOT.ies,https://www.nslusa.com/upload/636578056281515493.ies/5%20LAMPS%20PER%20FOOT.ies,https://www.nslusa.com/upload/636578061888150979.pdf/LED%20BRITE%20STRIP,https://www.nslusa.com/upload/636578062825246170.pdf/Install%20Instructions%20LED%20Brite%20Strip%20Dimmable,,,,,,,,,https://www.nslusa.com/upload/636578055301398883.jpg,https://www.nslusa.com/upload/636578055383968958.jpg,https://www.nslusa.com/upload/636578055487684554.jpg,
LED Dimmable Drivers,"<p>LED Drivers with dimming capability can dim the LED light output over the full range from 100% to 0%. Our NEW Electronic dimmable voltage LED drivers are class 2 rated and designed to operate with most standard MLV/Incandescent TRIAC (Leading edge) dimmers by brands such as Lutron and Leviton, which are commonly used in home and commercial installations, and widely available. Encased in a low profile aluminum enclosure that includes 2 knock-outs to enable easy installation makes it the perfect choice for under cabinet lights, tape lights and various LED fixtures installations. Our electrical specification includes Auto Reset, over current and short circuit protection, and efficiency of 90% and higher allows the driver to operate at low temperatures. Offered in a variety of wattages in both 12V and 24V DC models.<br><br>Check the instructions tab for a compatible Dimmer list. The listed Dimmers were tested with our LED Drivers. Dimmer performance may vary within the same model or with different LED load types. Additional MLV (Magnetic Low Voltage) dimmers may be used. Please contact Customer Service for details.<br><br>Note: Compatibility List may change without prior notice.</p>",https://www.nslusa.com/upload/636578921841048697.jpg,"#/upload/636578923195682823.jpg,#/upload/636578923215925041.jpg","/upload/636578928712598831.pdf/TRE12L20DC,/upload/636578928982357047.pdf/TRE12L60DC,/upload/636578929208280232.pdf/TRE24L40DC,/upload/636578929332845432.pdf/TRE24L96DC,/upload/636578934389761734.pdf/Electronic%20LED%20Driver%20Compatible%20Dimmer%20List,/upload/636578934623022535.pdf/Magnetic%20LED%20Driver%20Compatible%20Dimmer%20List,/upload/636578933531712910.pdf/TRE12L20DC,/upload/636578933710383701.pdf/TRE12L60DC,/upload/636578934026884474.pdf/TRE24L40DC,/upload/636578934150711986.pdf/TRE24L96DC","<div class=""tab-pane fade"" id=""product-applications"" role=""tabpanel"" aria-labelledby=""product-applications-tab"">
            <span>This product is suitable for the following applications:</span>
            <ul>
                    <li>Lighting Control</li>
            </ul>
    </div>",https://www.nslusa.com/upload/636645147003268181.pdf/LED%20Dimmable%20Drivers%20Brochure,https://www.nslusa.com/upload/636578928712598831.pdf/TRE12L20DC,https://www.nslusa.com/upload/636578928982357047.pdf/TRE12L60DC,https://www.nslusa.com/upload/636578929208280232.pdf/TRE24L40DC,https://www.nslusa.com/upload/636578929332845432.pdf/TRE24L96DC,https://www.nslusa.com/upload/636578934389761734.pdf/Electronic%20LED%20Driver%20Compatible%20Dimmer%20List,https://www.nslusa.com/upload/636578934623022535.pdf/Magnetic%20LED%20Driver%20Compatible%20Dimmer%20List,https://www.nslusa.com/upload/636578933531712910.pdf/TRE12L20DC,https://www.nslusa.com/upload/636578933710383701.pdf/TRE12L60DC,https://www.nslusa.com/upload/636578934026884474.pdf/TRE24L40DC,https://www.nslusa.com/upload/636578934150711986.pdf/TRE24L96DC,,,,,https://www.nslusa.com/upload/636578923195682823.jpg,https://www.nslusa.com/upload/636578923215925041.jpg,,
LED Thin Star,"<p>LED Thin Star provides excellent LED lighting for under cabinets, showcases, in cabinets, and many other applications. This light weight fixture can be mounted to any surface, is low in power consumption and provides high quality light. LED Thin Star is available in two different lengths which can be joined together providing seamless light in the lengths you require.<br><br>Specifications:<br>                                          6 LED Fixture           12 LED Fixture<br>Power Consumption          3.5 Watts                  7 Watts<br>Lumen Output                   155 Lumens             300 Lumens<br>Lumen Maintenance         40,000 Hours            40,000 Hours<br>CRI                                   &gt;80                            &gt;80</p>",https://www.nslusa.com/upload/636644964332070519.png,"#/upload/636578040440549848.jpg,#/upload/636578040527542962.jpg,#/upload/636578040620625735.jpg,#/upload/636578040727878467.jpg","/upload/636578041128605131.IES/6%20LED%20FIXTURE.ies,/upload/636578042161452619.pdf/LED%20THIN%20STAR,/upload/636578042973045338.pdf/Install%20Instructions","<div class=""tab-pane fade"" id=""product-applications"" role=""tabpanel"" aria-labelledby=""product-applications-tab"">
            <span>This product is suitable for the following applications:</span>
            <ul>
                    <li>Cabinet Lighting</li>
                    <li>Museum Lighting</li>
                    <li>Showcase Lighting</li>
            </ul>
    </div>",https://www.nslusa.com/upload/636698672960188545.pdf/LED%20Thin%20Star%20Brochure,https://www.nslusa.com/upload/636578041128605131.IES/6%20LED%20FIXTURE.ies,https://www.nslusa.com/upload/636578042161452619.pdf/LED%20THIN%20STAR,https://www.nslusa.com/upload/636578042973045338.pdf/Install%20Instructions,,,,,,,,,,,,https://www.nslusa.com/upload/636578040440549848.jpg,https://www.nslusa.com/upload/636578040527542962.jpg,https://www.nslusa.com/upload/636578040620625735.jpg,https://www.nslusa.com/upload/636578040727878467.jpg
